DISSOLVEID, STEWARD_ID
1842,9999
1876,9999
104323,9999
104187,9999
103737,9999
104348,9999
104170,9999
100422,9999
103768,9999
103756,9999
104368,9999
104259,9999
103761,9999
104143,9999
103753,9999
104278,9999
104308,9999
104338,9999
104331,9999
167,9999
102639,9999
104282,9999
103692,9999
104356,9999
103755,9999
103735,9999
103174,9999
104211,9999
504,9999
104280,9999
104263,9999
104294,9999
104244,9999
104125,9999
104359,9999
102374,9999
100075,9999
102404,9999
104190,9999
100021,9999
104284,9999
100737,9999
100691,9999
104350,9999
1699,9999
2317,9999
104189,9999
104258,9999
103715,9999
104353,9999
776,9999
2320,9999
103714,9999
2314,9999
102477,9999
102640,9999
103691,9999
104255,9999
104873,9999
104299,9999
104147,9999
104213,9999
104364,9999
462,9999
104183,9999
104380,9999
104293,9999
104270,9999
104127,9999
104132,9999
104322,9999
104185,9999
102376,9999
102372,9999
104326,9999
104319,9999
104335,9999
104321,9999
103774,9999
104341,9999
104277,9999
104266,9999
104186,9999
104137,9999
104149,9999
100942,9999
1582,9999
103708,9999
104198,9999
104265,9999
104342,9999
104271,9999
100377,9999
104343,9999
461,9999
104306,9999
104264,9999
104315,9999
104340,9999
104206,9999
103677,9999
2333,9999
102399,9999
103734,9999
104373,9999
104134,9999
104188,9999
104870,9999
104209,9999
102375,9999
104155,9999
103719,9999
103769,9999
104180,9999
104176,9999
100380,9999
104275,9999
103759,9999
296,9999
104349,9999
104154,9999
693,9999
104305,9999
103701,9999
104358,9999
104327,9999
104269,9999
100465,9999
104164,9999
2451,9999
102476,9999
100154,9999
104318,9999
104332,9999
104173,9999
103672,9999
104210,9999
143,9999
104329,9999
104311,9999
100087,9999
104370,9999
102405,9999
104212,9999
1033,9999
104683,9999
104324,9999
104279,9999
1389,9999
104191,9999
2200,9999
104207,9999
104320,9999
104344,9999
104325,9999
2546,9999
103733,9999
103716,9999
103705,9999
104371,9999
103793,9999
104199,9999
104337,9999
104287,9999
104203,9999
104330,9999
104142,9999
100824,9999
2545,9999
104194,9999
2344,9999
104355,9999
104292,9999
104236,9999
100940,9999
103722,9999
104285,9999
104347,9999
104151,9999
103763,9999
71,9999
103736,9999
2334,9999
103710,9999
104367,9999
101042,9999
100424,9999
103663,9999
103695,9999
104192,9999
103754,9999
102904,9999
104193,9999
33,9999
333,9999
50,9999
104333,9999
104357,9999
103689,9999
104281,9999
568,9999
104208,9999
104123,9999
104295,9999
104376,9999
104136,9999
104298,9999
104135,9999
104195,9999
103707,9999
104286,9999
104214,9999
102371,9999
104721,9999
104157,9999
103693,9999
102490,9999
104339,9999
104301,9999
102493,9999
104215,9999
104220,9999
2322,9999
103713,9999
103891,9999
103760,9999
2313,9999
1871,9999
104205,9999
104310,9999
104152,9999
103749,9999
104309,9999
109,9999
104200,9999
104379,9999
104141,9999
104914,9999
104184,9999
104229,9999
460,9999
104345,9999
104226,9999
104297,9999
104133,9999
104296,9999
104130,9999
104204,9999
104872,9999
104181,9999
103700,9999
104256,9999
104362,9999
104283,9999
103773,9999
2191,9999
104317,9999
104223,9999
103694,9999
103724,9999
104313,9999
104268,9999
104148,9999
104150,9999
103709,9999
104316,9999
104328,9999
100933,9999
100097,9999
104156,9999
104312,9999
104174,9999
104196,9999
104366,9999
1617,9999
104874,9999
1881,9999
104153,9999
101102,9999
103762,9999
104300,9999
104246,9999
104361,9999
100440,9999
104267,9999
103671,9999
104696,9999
104245,9999
104243,9999
104239,9999
104124,9999
100463,9999
102377,9999
104692,9999
104182,9999
100011,9999
1012,2836
102155,8470
102077,5799
101746,63301
1708,62757
101837,48345
101526,60746
809,14172
2287,25719
2735,5127
1532,27934
1011,44659
770,63301
368,63301
1853,63301
102348,25462
101591,50594
1325,8470
2169,22159
101499,60746
1999,48797
2355,48797
101274,60746
1590,63301
102329,25462
102184,8470
103377,58672
101283,60746
485,33909
2036,43262
972,12697
1555,12697
1096,12697
1230,54555
1908,48345
101394,60746
1757,27934
103618,62987
2768,12697
1663,37104
1219,58672
91,44659
101398,60746
102023,5799
1220,22159
1505,50594
2296,58672
2761,12697
102091,5799
980,48797
2199,63301
101596,50594
101620,50594
1565,58
101789,63301
2376,51433
813,61501
299,25462
1654,5999
10,44476
102011,57650
2300,12697
1135,7245
102306,45392
2493,12697
611,8470
1022,27011
380,5833
104673,27015
2275,12697
101675,50594
101929,44659
102273,45392
1949,44659
2405,51433
101681,54555
101417,60746
101450,60746
2577,27011
101711,12532
374,48797
1779,7245
2235,63301
101950,5833
102365,8369
2407,22159
871,27934
500,48797
101946,5833
102267,45392
2537,22159
101604,50594
104090,31607
1564,25462
101409,60746
104377,59525
197,44476
1393,44659
882,55586
2579,20231
102390,37104
1732,48797
1306,57749
102064,5799
101406,60746
102844,20976
779,63301
2408,22159
101947,5833
1105,12697
1337,58672
1229,54555
2658,60746
103892,60746
104644,48797
430,48797
1084,44659
2492,25462
153,5799
2562,63301
1668,48797
140,58672
2528,2836
2090,7245
1895,51433
104086,31607
1247,61501
102112,8470
936,12697
101915,44659
2360,63301
1165,51433
2246,48797
102291,45392
1319,44659
728,51433
2659,25462
1968,51433
104853,37570
1575,27934
102075,5799
1848,63301
2514,12697
2512,12697
101739,52180
567,63301
101877,44476
101731,52180
1587,12697
1346,51433
1375,22159
102173,8470
104688,16973
102363,8369
2280,48345
1886,63301
2164,57650
101934,44659
2510,44659
2382,63301
102332,25462
101873,44476
1901,28868
103634,53263
151,44476
2502,57650
101488,60746
2014,63301
1978,63301
2503,63301
1763,63301
1969,8470
389,63301
2356,48797
2122,48797
2026,12532
104672,27015
104117,28868
101387,60746
184,58672
2008,7245
2261,63301
101703,12532
330,12697
101464,60746
1450,48345
102302,45392
102833,20976
80,64686
101447,60746
101838,48345
103615,62987
2421,51433
102344,25462
102169,8470
520,57650
101885,44476
2509,51433
2123,48797
101960,5833
102840,20976
2700,62757
2684,51433
1007,63301
2410,62757
101667,50594
102045,5799
102183,8470
102326,33909
1200,26692
774,43580
201,57650
1291,20231
923,7245
2664,5833
1485,27011
899,27011
861,27011
2542,36615
1227,27011
2146,27011
1475,27011
118,27011
1336,27011
255,27011
1827,27011
1144,27011
2653,45392
1120,54555
2667,28868
1534,55586
2237,27011
1205,27011
239,27011
104378,59525
2552,27011
2069,27011
2501,27011
753,61501
2739,44476
889,27011
1014,27011
103626,53263
957,27011
2210,27011
2636,27011
1550,27011
1991,48797
1899,28868
2590,33312
1686,33909
2266,48797
1499,27011
437,48797
1140,48797
1621,27011
1572,63301
101366,60746
578,51433
843,65516
102280,45392
1444,48345
1488,58672
101300,60746
2193,12697
2177,8470
102827,20976
2079,48797
401,12697
660,51433
206,48797
2065,54604
2218,22159
102181,8470
102081,5799
1494,28868
2609,45392
13,63301
104139,57992
103607,62987
661,51433
104714,5127
148,22159
253,51433
101582,50594
1045,6810
1222,22159
127,12697
103605,62987
1024,44659
640,12697
2096,12532
326,62171
1981,48797
2032,12697
2565,48345
211,64267
1562,51433
545,7245
6,7245
1567,7245
101636,50594
101951,5833
649,51433
2416,48797
756,63301
2769,12697
102125,8470
2760,12697
104121,28868
2589,12697
2185,52180
1374,25719
946,12697
102084,5799
101461,60746
101964,5833
101969,51433
633,12347
2442,45392
2259,63301
101327,60746
1090,43580
1721,52180
625,63301
101360,60746
952,45392
2083,48797
101482,60746
104623,48797
101428,60746
2633,37570
335,28868
101297,60746
101616,50594
1405,48345
595,22159
2057,44476
993,48797
293,63301
2666,58672
1111,51433
104640,48797
2499,48142
1568,55586
102118,8470
2656,45392
1574,12697
1300,58672
599,51433
133,8470
102163,8470
1175,52180
2581,58672
914,63301
101589,50594
562,7245
780,63301
2216,63301
102061,5799
994,54555
102028,5799
2024,48142
101797,63301
101966,5833
101376,60746
102176,8470
1561,44476
2460,63301
104092,31607
102140,8470
104091,31607
1167,57749
2714,51433
2420,45392
101963,5833
1102,63301
898,8470
101513,60746
77,44659
2615,51433
2401,63301
672,51433
226,44659
1218,25462
2101,48797
2712,44659
102142,8470
1309,12697
501,45392
1304,45392
1924,58672
2324,51433
102124,8470
101348,60746
664,8470
1765,51433
2415,12532
101649,50594
1502,63301
104119,43580
1426,12532
102397,37829
101389,60746
1184,44659
1016,51433
1931,48345
102120,8470
101693,57749
1891,64686
101744,63301
2062,39585
102262,22159
101372,60746
312,44659
102042,5799
102830,20976
452,8470
104111,43580
101957,5833
101408,60746
1112,54555
2592,62757
101358,60746
101729,25719
917,63301
826,48797
100045,60633
1149,43580
101403,60746
101587,50594
101784,63301
102030,5799
791,51433
356,63301
101334,60746
1581,57749
476,27934
101924,44659
101448,60746
466,48345
519,57650
101869,44476
2459,53263
262,7245
1478,62987
1884,63301
101503,60746
101315,60746
1441,22159
2597,51433
101831,48345
101820,48345
608,5799
883,8470
337,48797
2559,44659
102303,45392
340,33909
1584,27011
101958,5833
388,63301
102052,5799
101741,63301
2461,57650
