391160,"Clackamas","Still Creek Trail #780",
953579,"Washington","Orenco Woods Nature Park Trail",
113640,"Multnomah","Johnson Lake Trail",
748275,"Multnomah","NW 10th Ave. - Connector",
316103,"Washington","Chehalem Ridgetop Trail",
243326,"Washington","N Fremont St Connector",
409287,"Clackamas","Molalla-Fern Creek Trail",
963348,"Multnomah","Springwater On The Willamette",
171962,"Multnomah","Gordon Russell Middle School Connector",
534032,"Clackamas","Molalla-Leap Frog Trail",
484209,"Washington","NW Saltzman Ct Connector",
481121,"Multnomah","Connor Trail",
647697,"Washington","Fanno Creek Trail Connector",
202502,"Washington","Tualatin River Greenway Connector",
440227,"Washington","Tualatin River Greenway - Boones Ferry Connector",
988683,"Multnomah","SW Lee St - SW 43rd Ave Connector",
911055,"Multnomah","Sandy River Greenway Trail - Connector",
616216,"Multnomah","N Columbia Frontage Rd.",
801323,"Washington","NW Donelson St - NW Darnielle St Connector",
840760,"Washington","NW 152nd Ave - NW Pioneer Rd",
110676,"Clark","Ellen Davis Trail",
120731,"Washington","SW Fisher Ave Connector",
909673,"Washington","Spur Trail",
270407,"Washington","Ascension Trail",
231038,"Clackamas","Westlake Meadows Apartments",
113713,"Multnomah","Interlakes Trail Extension",
157841,"Multnomah","South Waterfront Greenway",
520172,"Multnomah","SW Corbett Ave",
181691,"Washington","West Unioin Rd - 151st Pl Connector",
927107,"Washington","I-5 Kruse Way Connector",
410216,"Multnomah","SW Iowa St",
618044,"Clackamas","Noyer Creek Trail",
915360,"Clackamas","Tupper Path",
381022,"Washington","SW Elwert Rd - SW Swanstrom Dr Connector",
587847,"Multnomah","Eagle Tanner Trail #433",
664300,"Multnomah","Morrison Bridge - Connector",
107797,"Clackamas","Stafford/Rosemont",
498885,"Clackamas","Emerald Cascade St. Path",
309139,"Multnomah","Halsey Cut-Through",
154429,"Washington","SW Madrone Ct - SW 110th Pl Connector",
586864,"Multnomah","Firelane 8",
676622,"Washington","129th Avenue Trail",
235870,"Washington","Boat Ramp Access",
848459,"Washington","Krueger Trail",
168147,"Washington","Elliot Trail",
601271,"Multnomah","Eastbank Esplanade",
933629,"Washington","Dairy Creek Greenway",
878906,"Multnomah","N Swenson St - N Ziegler Ave Connector",
423401,"Clackamas","Summit Trail",
437146,"Multnomah","SE 128th Ave",
450803,"Multnomah","Marquam Park Trail",
772425,"Multnomah","Southeast Portland Willamette Greenway Trail",
517846,"Clark","Jones Creek Trail",
583406,"Clark","Tarbell Trail",
831009,"Multnomah County","Hanson Rd - Barberry Dr Connector",
522198,"Washington","163rd Pl - Hart Rd Connector",
967292,"Multnomah County","Morrison - 52nd Connector",
171481,"Multnomah","Baltimore Woods Trail",
268448,"Clark","I-5 Trail",
397795,"Clark","East Fork Of The Lewis River Trail",
170435,"Clark","Burnt Bridge Creek Trail",
719503,"Clark","Cougar Creek Greenway Trail",
581393,"Multnomah County","SW Sherman St - SW Natio Pkwy Connector",
987322,"Clackamas","Lave Dome Trail",
815054,"Multnomah","NW Bridge Ave",
972055,"Washington","Merlyne - Hall Blvd Connector",
145422,"Washington","SW Langer Farms Pkwy Trail",
655494,"Clark"," ",
601387,"Clackamas","Trillium Drive",
649366,"Multnomah","NB Natio - Grover Connector",
143112,"Multnomah","SW 19th Ave - SW Barbur Connector",
497921,"Multnomah","Edgewood - Edgewood Connector",
292839,"Multnomah","Wilark - St Helens Connector",
937193,"Multnomah","Wistaria Dr & 50th Ave Connector",
689220,"Multnomah","27th Ave - Connector",
178823,"Washington","121st - Hazelhill Connector",
622002,"Clackamas","1st St. Path",
843304,"Clackamas","Americorp Alley",
149314,"Multnomah","Durham Ave - Holman St Connector",
554439,"Washington","Dover St Planned",
450859,"Clark","East 1st Street",
508644,"Multnomah","Cameron Rd Path",
292598,"Multnomah","Burlingame Ave Path",
599538,"Multnomah","Pier Park - connector",
510514,"Multnomah","Lake Oswego to Portland Trail",
241225,"Washington","Rock Creek Trail - Connector",
140243,"Multnomah","Springwater Corridor - Connector",
882653,"Clackamas","Looneys Gate Trail",
452503,"Multnomah","Summit Lane Trail",
756295,"Washington","SW Weir Rd - SW Hiteon Dr Connector",
962095,"Multnomah","Water Bureau Access Rd",
178232,"Multnomah","Nesmith Point Trail",
218389,"Clackamas","Rock Drop Trail",
790532,"Multnomah","South Trail",
141752,"Multnomah","Butler Buttes Trail",
401920,"Clackamas","Browns Ferry Park Trails",
648678,"Multnomah","Connector Trail",
281292,"Washington","Castle Hill Trail",
503954,"Multnomah","Kelley Point Park Trail",
669534,"Multnomah","I-205 Multi-Use Path",
250638,"Multnomah","Bridgeton Promenade",
976742,"Multnomah","Hayhurst Elementary School connector",
376828,"Clackamas","Glenmorrie Greenway Trail",
616239,"Washington","Reedville Trail",
374340,"Clackamas","Beaver Lake Trail",
140024,"Multnomah","Butler Creek Greenway Trail",
851248,"Clackamas","Tualatin River Water Trail",
139849,"Multnomah","I-205 Multi-Use Path - Connector",
426711,"Clackamas","Tickle Creek Trail",
880323,"Multnomah","Harvey Scott Circle",
976637,"Multnomah","Hawthorn Trail",
418152,"Multnomah","Douglas Fir Trail",
580125,"Washington","SW End Pl - SW Erio Pl Connector",
461046,"Clackamas","Kensington Ct - Reminton Dr Connector",
897333,"Washington","Wilkins Street",
580949,"Washington","Unfit Settlement View Trail",
860728,"Clackamas","Wembley Park Road",
621636,"Clackamas","Fern Trail",
869976,"Multnomah","Firelane 5",
267558,"Multnomah","Firelane 13a",
728351,"Multnomah","Cedar Grove Trail",
107517,"Clackamas","Reinstra's Trail",
733726,"Multnomah","Terwilliger Trail",
719776,"Multnomah","Tabor Summit Dr",
439899,"Clackamas","Palamino Park - Club House Ct Connector",
184864,"Clackamas","Dog Creek Trail",
799840,"Clackamas","Tonquin Trail - Connector",
841517,"Multnomah","I-5 Trail",
218486,"Multnomah","Kirk Park-Connector",
193175,"Washington","Brookwood Parkway Trail",
748357,"Multnomah","Hillsdale to Lake Oswego Trail",
772640,"Multnomah","Lewis And Clark Trail",
820047,"Clackamas","Springwater Corridor",
426142,"Multnomah","SW Slavin Rd",
